[2021-03-01 11:18:59,830] INFO -  * Restarting with stat
[2021-03-01 11:19:03,437] WARNING -  * Debugger is active!
[2021-03-01 11:19:03,445] INFO -  * Debugger PIN: 179-288-625
[2021-03-01 11:19:03,472] INFO -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
[2021-03-01 11:19:13,404] INFO - 127.0.0.1 - - [01/Mar/2021 11:19:13] "[37mGET / HTTP/1.1[0m" 200 -
[2021-03-01 11:19:23,799] WARNING - Acces a la route
[2021-03-01 11:19:23,910] INFO - 127.0.0.1 - - [01/Mar/2021 11:19:23] "[37mGET /per_capita/Albania HTTP/1.1[0m" 200 -
[2021-03-01 11:19:27,240] WARNING - Acces a la route
[2021-03-01 11:19:27,266] ERROR - La route demande n'existe pas: Alba
[2021-03-01 11:19:27,266] INFO - 127.0.0.1 - - [01/Mar/2021 11:19:27] "[33mGET /per_capita/Alba HTTP/1.1[0m" 404 -
[2021-03-01 11:20:14,375] INFO -  * Detected change in 'c:\\Users\\utilisateur\\Desktop\\API_ong\\api.py', reloading
[2021-03-01 11:20:14,535] INFO -  * Restarting with stat
[2021-03-01 11:20:16,514] WARNING -  * Debugger is active!
[2021-03-01 11:20:16,536] INFO -  * Debugger PIN: 179-288-625
[2021-03-01 11:20:16,550] INFO -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
[2021-03-01 11:20:20,882] INFO - 127.0.0.1 - - [01/Mar/2021 11:20:20] "[37mGET / HTTP/1.1[0m" 200 -
[2021-03-01 11:20:22,310] INFO - 127.0.0.1 - - [01/Mar/2021 11:20:22] "[37mGET / HTTP/1.1[0m" 200 -
[2021-03-01 11:20:23,503] INFO - 127.0.0.1 - - [01/Mar/2021 11:20:23] "[37mGET / HTTP/1.1[0m" 200 -
[2021-03-01 12:04:22,985] WARNING - Acces a la route
[2021-03-01 12:04:23,016] WARNING - Acces a la route: latest_by_country/
[2021-03-01 12:04:23,041] WARNING - Acces a la route: latest_by_country/
[2021-03-01 12:04:23,054] ERROR - la route demande n'existe pas: Aania
[2021-03-01 12:04:23,054] WARNING - Acces a la route
[2021-03-01 12:04:26,062] INFO -  * Restarting with stat
[2021-03-01 12:04:27,461] WARNING -  * Debugger is active!
[2021-03-01 12:04:27,476] INFO -  * Debugger PIN: 275-796-659
[2021-03-01 12:04:27,492] INFO -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
[2021-03-01 12:04:29,865] INFO - 127.0.0.1 - - [01/Mar/2021 12:04:29] "[37mGET / HTTP/1.1[0m" 200 -
[2021-03-01 12:04:31,368] INFO - 127.0.0.1 - - [01/Mar/2021 12:04:31] "[37mGET / HTTP/1.1[0m" 200 -
[2021-03-01 12:06:31,799] WARNING - Acces a la route
[2021-03-01 12:06:31,815] WARNING - Acces a la route: latest_by_country/
[2021-03-01 12:06:31,846] WARNING - Acces a la route: latest_by_country/
[2021-03-01 12:06:31,862] ERROR - la route demande n'existe pas: Aania
[2021-03-01 12:06:31,862] WARNING - Acces a la route
[2021-03-01 12:06:35,269] INFO -  * Restarting with stat
[2021-03-01 12:06:36,726] WARNING -  * Debugger is active!
[2021-03-01 12:06:36,726] INFO -  * Debugger PIN: 275-796-659
[2021-03-01 12:06:36,757] INFO -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
[2021-03-01 12:07:15,876] WARNING - Acces a la route
[2021-03-01 12:07:15,912] WARNING - Acces a la route: latest_by_country/
[2021-03-01 12:07:15,946] WARNING - Acces a la route: latest_by_country/
[2021-03-01 12:07:15,961] ERROR - la route demande n'existe pas: Aania
[2021-03-01 12:07:15,965] WARNING - Acces a la route
[2021-03-01 12:07:34,520] WARNING - Acces a la route
[2021-03-01 12:07:34,560] WARNING - Acces a la route: latest_by_country/
[2021-03-01 12:07:34,598] WARNING - Acces a la route: latest_by_country/
[2021-03-01 12:07:34,610] ERROR - la route demande n'existe pas: Aania
[2021-03-01 12:07:34,623] WARNING - Acces a la route
[2021-03-01 12:21:04,046] WARNING - Acces a la route
[2021-03-01 12:21:04,078] WARNING - Acces a la route: latest_by_country/
[2021-03-01 12:21:04,100] WARNING - Acces a la route: latest_by_country/
[2021-03-01 12:21:04,127] ERROR - la route demande n'existe pas: Aania
[2021-03-01 12:21:04,127] WARNING - Acces a la route
[2021-03-01 12:21:08,926] INFO -  * Restarting with stat
[2021-03-01 12:21:10,314] WARNING -  * Debugger is active!
[2021-03-01 12:21:10,314] INFO -  * Debugger PIN: 275-796-659
[2021-03-01 12:21:10,330] INFO -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
[2021-03-01 12:21:58,624] WARNING - Acces a la route
[2021-03-01 12:21:58,656] WARNING - Acces a la route: latest_by_country/
[2021-03-01 12:21:58,686] WARNING - Acces a la route: latest_by_country/
[2021-03-01 12:21:58,702] ERROR - la route demande n'existe pas: Aania
[2021-03-01 12:21:58,702] WARNING - Acces a la route
[2021-03-01 12:22:04,432] INFO -  * Restarting with stat
[2021-03-01 12:22:05,820] WARNING -  * Debugger is active!
[2021-03-01 12:22:05,820] INFO -  * Debugger PIN: 275-796-659
[2021-03-01 12:22:05,842] INFO -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
